1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-0.0,0.385,0.674,0.891,1.056,1.181,1.272,1.337,1.379,1.404,1.413,1.41,1.395,1.371,1.338,1.297,1.248,1.193,1.132,1.066,0.994,0.917,0.837,0.752,0.664,0.573,0.478,0.381,0.28,0.176,0.07,-0.04,-0.152,-0.266,-0.383,-0.502,-0.624,-0.747,-0.873,-1.0
1.0,1.28,1.485,1.634,1.74,1.813,1.853,1.872,1.875,1.864,1.844,1.815,1.78,1.739,1.695,1.646,1.592,1.533,1.465,1.384,1.292,1.19,1.082,0.971,0.856,0.74,0.621,0.501,0.38,0.258,0.135,0.012,-0.113,-0.238,-0.364,-0.49,-0.617,-0.744,-0.872,-1.0
1.0,1.282,1.49,1.641,1.745,1.814,1.862,1.89,1.902,1.901,1.89,1.87,1.844,1.811,1.773,1.731,1.684,1.635,1.582,1.526,1.456,1.39,1.326,1.262,1.196,1.129,1.06,0.989,0.915,0.84,0.763,0.684,0.603,0.521,0.437,0.352,0.265,0.178,0.089,0.0
1.0,1.294,1.515,1.686,1.827,1.946,2.046,2.128,2.186,2.21,2.199,2.159,2.1,2.03,1.951,1.866,1.779,1.69,1.605,1.527,1.468,1.407,1.344,1.279,1.211,1.142,1.07,0.997,0.922,0.845,0.766,0.686,0.604,0.521,0.437,0.352,0.265,0.178,0.089,0.0
1.0,1.298,1.529,1.715,1.867,1.995,2.103,2.191,2.259,2.299,2.288,2.241,2.19,2.135,2.077,2.015,1.951,1.885,1.818,1.748,1.677,1.604,1.53,1.454,1.376,1.296,1.215,1.132,1.047,0.96,0.871,0.78,0.688,0.594,0.498,0.401,0.303,0.203,0.102,0.0
1.0,1.451,1.801,2.053,2.226,2.341,2.408,2.402,2.371,2.332,2.31,2.295,2.264,2.222,2.172,2.115,2.053,1.987,1.917,1.844,1.768,1.69,1.609,1.525,1.44,1.353,1.264,1.174,1.082,0.988,0.894,0.798,0.701,0.603,0.505,0.405,0.305,0.204,0.102,0.0
1.0,1.452,1.809,2.07,2.243,2.349,2.414,2.438,2.454,2.468,2.479,2.476,2.455,2.415,2.363,2.302,2.235,2.162,2.086,2.006,1.923,1.837,1.749,1.658,1.564,1.468,1.369,1.268,1.165,1.06,0.953,0.845,0.737,0.63,0.523,0.417,0.311,0.207,0.103,0.0
1.0,1.46,1.82,2.099,2.313,2.425,2.422,2.459,2.489,2.517,2.548,2.577,2.59,2.541,2.48,2.417,2.338,2.254,2.168,2.079,1.989,1.896,1.802,1.707,1.61,1.512,1.412,1.311,1.208,1.104,0.999,0.893,0.785,0.676,0.566,0.455,0.342,0.229,0.115,0.0
1.0,1.461,1.824,2.104,2.319,2.473,2.574,2.634,2.668,2.688,2.692,2.653,2.6,2.567,2.496,2.419,2.352,2.286,2.219,2.149,2.076,1.994,1.896,1.788,1.675,1.562,1.449,1.337,1.226,1.116,1.006,0.897,0.787,0.677,0.566,0.455,0.342,0.229,0.115,0.0
2.0,2.177,2.297,2.372,2.414,2.482,2.599,2.671,2.712,2.731,2.723,2.69,2.636,2.587,2.561,2.525,2.48,2.429,2.374,2.268,2.16,2.061,1.977,1.905,1.837,1.772,1.709,1.647,1.587,1.529,1.472,1.416,1.361,1.307,1.254,1.202,1.151,1.1,1.05,1.0
2.0,2.186,2.33,2.446,2.539,2.621,2.683,2.726,2.747,2.741,2.724,2.743,2.781,2.823,2.792,2.697,2.594,2.487,2.378,2.316,2.255,2.192,2.127,2.062,1.995,1.928,1.861,1.793,1.726,1.658,1.591,1.524,1.457,1.391,1.325,1.259,1.194,1.129,1.064,1.0
2.0,2.193,2.338,2.449,2.543,2.622,2.691,2.754,2.793,2.804,2.8,2.804,2.822,2.853,2.832,2.774,2.709,2.638,2.564,2.488,2.411,2.333,2.254,2.175,2.097,2.019,1.941,1.865,1.788,1.713,1.639,1.565,1.492,1.42,1.348,1.278,1.207,1.138,1.069,1.0
2.0,2.195,2.343,2.456,2.546,2.625,2.718,2.815,2.9,2.928,2.936,2.936,2.921,2.89,2.876,2.839,2.777,2.709,2.637,2.562,2.486,2.409,2.331,2.252,2.173,2.094,2.015,1.936,1.857,1.778,1.699,1.621,1.543,1.464,1.387,1.309,1.231,1.154,1.077,1.0
2.0,2.209,2.372,2.504,2.619,2.724,2.806,2.874,2.938,2.993,3.013,3.01,2.974,2.896,2.897,2.946,2.997,2.97,2.886,2.798,2.708,2.616,2.524,2.431,2.339,2.246,2.154,2.062,1.97,1.879,1.789,1.699,1.61,1.521,1.433,1.345,1.258,1.172,1.086,1.0
2.0,2.227,2.405,2.543,2.65,2.735,2.824,2.908,2.947,3.009,3.044,3.034,2.993,2.961,2.933,2.962,3.01,3.042,2.956,2.865,2.773,2.679,2.584,2.489,2.393,2.298,2.202,2.107,2.012,1.918,1.824,1.731,1.638,1.545,1.453,1.362,1.271,1.18,1.09,1.0
