Wavelength (nm), scalar, vector, tensor
400.0,-2517.1461212727586,-3765.431692359214,1284.462805797462
400.1,-2613.2157397092956,-3922.0649833288567,1262.325105715814
400.2,-2686.1439871426487,-4082.7721041145383,1290.6711556463113
400.3,-2757.704514078187,-4257.287216125679,1335.6896434572832
400.4,-2833.268545703463,-4450.794955655247,1391.8246177098893
400.5,-2915.999405351643,-4669.166033550062,1458.6220412520286
400.6,-3009.1482545921717,-4920.6071325146895,1537.7882092160085
400.7,-3117.1600496312853,-5217.679972874879,1632.996902881912
400.8,-3247.0811801020545,-5581.093355600242,1750.866156047492
400.9,-3411.391164793909,-6048.026453032674,1903.6181552523833
401.0,-3635.0442078384986,-6693.175569563853,2116.042889067094
401.1,-3976.956580948581,-7693.177402894642,2446.946645887134
401.2,-4618.979465129368,-9593.506659400377,3078.1039469186
401.3,-6542.2832241092865,-15337.616938712072,4990.629884972525
401.4,32235.038218381163,101020.2532900069,-33797.422652709465
401.5,-181.7001555044598,3796.082555278474,-1391.3999187593952
401.6,-1670.8264839216154,-645.0868042850185,87.00183070122613
401.7,-2251.036612958015,-2359.3204757873345,656.4589978337232
401.8,-2592.889808585435,-3358.2779892003177,987.5150375799631
401.9,-2840.605790473799,-4074.6028952763886,1224.376569235038
402.0,-3044.181876816429,-4658.273539776935,1417.0298623539268
402.1,-3225.909890282815,-5176.153300480932,1587.757263224973
402.2,-3397.5865088088094,-5663.62128342085,1748.3471909392301
402.3,-3566.3862195858915,-6142.190916991352,1905.9668249793801
402.4,-3737.2671866826686,-6626.727350459752,2065.567769992411
402.5,-3914.1056751432834,-7128.850568267766,2231.0203234483115
402.6,-4100.30471085543,-7658.761245941515,2405.7220134179074
402.7,-4299.170705258124,-8226.370526205663,2592.9741269272663
402.8,-4514.190205678887,-8842.130191432627,2796.258383442677
402.9,-4749.276274266359,-9517.771736750823,3019.4832518796106
403.0,-5009.030276270996,-10267.091682674327,3267.2456884955473
403.1,-5299.0597240506395,-11106.90506383809,3545.1489394987134
403.2,-5626.400099807635,-12058.310860926456,3860.2243294505097
403.3,-6000.108921396437,-13148.47416733532,4221.525298325459
403.4,-6432.140220750038,-14413.24959807019,4641.001855637587
403.5,-6938.682506425171,-15901.195154491057,5134.838522246647
403.6,-7542.286735221124,-17679.956119069295,5725.58228410259
403.7,-8275.397799145785,-19846.859498424084,6445.674063651471
403.8,-9186.511276664358,-22547.384261002884,7343.605457399558
403.9,-10351.561761521818,-26009.326308923504,8495.307052574106
404.0,-11896.591821369253,-30610.80534038053,10026.817374826853
404.1,-14047.322703022981,-37028.9769528667,12163.853583576758
404.2,-17252.063394836212,-46608.759818456376,15354.720525282213
404.3,-22545.982333636137,-62455.65079334743,20634.582431938823
404.4,-32978.76640305006,-93718.7019019987,31053.121911495506
404.5,-63159.041549844726,-184223.78217562247,61218.960556704405
404.6,-1.183596765072816e6,-3.54550075450855e6,1.1816420512268504e6
404.7,68091.6161943626,209601.04980341555,-70061.16377631645
404.8,32458.756864997078,102739.60401863797,-34443.34369715846
404.9,21019.335791966696,68458.95433758234,-23019.172125357316
405.0,15373.725906445348,51560.229429123065,-17389.026841163963
405.1,12006.732954427838,41497.85665040245,-14037.718558429478
405.2,9768.43276348007,34822.07385751075,-11815.328197872695
405.3,8171.230189985335,30070.106257849973,-10234.265840892394
405.4,6973.020468799132,26515.650469961583,-9052.43208587097
405.5,6039.962242774407,23757.19362324032,-8135.991084462273
405.6,5292.044907468871,21554.715403505008,-7404.937893204298
405.7,4678.496579237988,19755.91196907352,-6808.506448688021
405.8,4165.545014099329,18259.478719533297,-6312.930493695163
405.9,3729.85145631427,16995.411854079393,-5894.8774332763405
406.0,3354.769698488899,15913.785564860926,-5537.707402597483
406.1,3028.1070415919194,14978.034930563657,-5229.234234977599
406.2,2740.7277951289175,14160.766430981854,-4960.328970382928
406.3,2485.6512577100925,13441.05190332835,-4724.017844640596
406.4,2257.4512882951376,12802.627271169822,-4514.881869681893
406.5,2051.846032159495,12232.661738160015,-4328.6465688867165
406.6,1865.4110635377322,11720.897232477491,-4161.895129513023
406.7,1695.3746979575199,11259.034361051416,-4011.8637252543426
406.8,1539.4692639124312,10840.286242563505,-3876.292798603775
406.9,1395.8212620645115,10459.04900384581,-3753.3172312479487
407.0,1262.869043858006,10110.654835367286,-3641.384034405853
407.1,1139.3002872374282,9791.1844389403,-3539.1898368414863
407.2,1024.0039282786897,9497.322844127795,-3445.6328293966485
407.3,916.0327933270133,9226.247327190802,-3359.7754106779157
407.4,814.5742513032291,8975.539391621016,-3280.8148536013778
407.5,718.9269466225059,8743.114991657974,-3208.060053285136
407.6,628.4821913214614,8527.168734646166,-3140.9129349331392
407.7,542.7089624320166,8326.12890042239,-3078.853467800686
407.8,461.1417145691705,8138.62090771354,-3021.4274952637807
407.9,383.37040952672044,7963.437433010652,-2968.2367828451593
408.0,309.0323056395783,7799.513810286013,-2918.9308270193455
408.1,237.80515433594397,7645.907653918378,-2873.2000722872504
408.2,169.40152975560207,7501.78188255886,-2830.770262469922
408.3,103.5640766559505,7366.390499712792,-2791.397711521381
408.4,40.06150709596666,7239.066622625627,-2754.8653244346774
408.5,-21.314788807062037,7119.212355485162,-2720.979233627195
408.6,-80.75362578780086,7006.290183856762,-2689.565943163039
408.7,-138.4264867147469,6899.815630384525,-2660.469894213777
408.8,-194.4896364255662,6799.350961370477,-2633.551381689562
408.9,-249.0859432386946,6704.499773032134,-2608.6847650407994
409.0,-302.3464548832497,6614.902317397185,-2585.756926622473
409.1,-354.39176728224635,6530.231452724822,-2564.6659393294003
409.2,-405.3332179527,6450.189123377632,-2545.3199118961024
409.3,-455.2739303895174,6374.503290272453,-2527.635985663735
409.4,-504.30973142022265,6302.925246196639,-2511.5394610109543
409.5,-552.5299599452486,6235.2272610155,-2496.9630352345225
409.6,-600.0181825497506,6171.200510602566,-2483.8461366108318
409.7,-646.8528290652278,6110.653250573623,-2472.1343417970475
