u,stdn
0.001,0.002581982700994025
0.011,0.028393623361469486
0.021,0.05416421089668677
0.031,0.07985587125788363
0.041,0.10542968848403642
0.051,0.13084519811108875
0.061,0.1560598734748581
0.071,0.18102861146436283
0.081,0.2057032401328772
0.091,0.23003209355865542
0.101,0.2539597265112889
0.111,0.2774269026051428
0.121,0.30037099117717875
0.131,0.3227269332214943
0.141,0.3444288243537187
0.151,0.3654122524572573
0.161,0.3856169995201671
0.171,0.4049899737180525
0.181,0.42348806544160145
0.191,0.4410803016293575
0.201,0.457749108690736
0.211,0.473490755460938
0.221,0.4883145965181472
0.231,0.5022416988819258
0.241,0.5153028780535688
0.251,0.5275363730674023
0.261,0.5389857273319514
0.271,0.5496976580643079
0.281,0.5597203144983299
0.291,0.5691018258901606
0.301,0.5778892252890854
0.311,0.5861276500738448
0.321,0.5938598327044805
0.331,0.6011257883132837
0.341,0.6079626703880475
0.351,0.6144047713617621
0.361,0.6204835679170623
0.371,0.6262278605393227
0.381,0.6316639342900119
0.391,0.6368157197492096
0.401,0.6417050025302841
0.411,0.64635159363155
0.421,0.6507735058036768
0.431,0.6549871206416682
0.441,0.659007357511619
0.451,0.6628477922376709
0.461,0.6665208177783705
0.471,0.6700377346096463
0.481,0.6734088766661375
0.491,0.6766436931210222
0.501,0.6797508531314749
